Codigo Proveedor ;Nombre ;Descripcionlarga;Descripcionlarga;Familia;Clase ;Costo ;Preciolista
ATBC290BV;Bicicleta Athletic Vert 290Bv;Bicicleta Athletic Vertical 290Bv / 110Kg, Volante 4Kg ;Bicicleta Athletic Vertical 290Bv / 110Kg, Volante 4Kg ;3;3001;1758900;2462460
ATSP7500BS;Bicicleta Indoor Athl 7500Bs ;Bicicleta Indoor Athletic 7500Bs / 150 Kg, Disco De Inercia 20Kg;Bicicleta Indoor Athletic 7500Bs / 150 Kg, Disco De Inercia 20Kg;3;3001;2868000;4015200
ATSP7000BS;Bicicleta Indoor Athl 7000Bs;Bicicleta Indoor Athletic 7000Bs;Bicicleta Indoor Athletic 7000Bs;3;3001;4794600;6712440
ATSP2600BS;Bicicleta Indoor Athl 135 Kg;Bicicleta Indoor Athletic  /135 Kg, Disco De Inercia 20Kg;Bicicleta Indoor Athletic  /135 Kg, Disco De Inercia 20Kg;3;3001;3714700;5200580
ATSP700BS;Bicicleta Indoor Athl 700Bs;Bicicleta Indoor Athletic 700Bs /125Kg, Disco De Inercia 13Kg;Bicicleta Indoor Athletic 700Bs /125Kg, Disco De Inercia 13Kg;3;3001;2157300;3020220
ATSP550BS;Bicicleta Indoor Athl 550Bs;Bicicleta Indoor Athletic 550Bs;Bicicleta Indoor Athletic 550Bs;3;3001;2070800;2899120
ATCC7500T;Cinta De Caminar Athl Pro;Cinta De Caminar Athletic Profesional;Cinta De Caminar Athletic Profesional;3;3001;13322900;18652060
ATCC4900T;Cinta De Caminar Athlc Pro;Cinta De Caminar Athletic Profesional;Cinta De Caminar Athletic Profesional;3;3001;11417200;15984080
ATCC3660T;Cinta Caminar Athletic 3660T;Cinta Caminar Athletic 3660T/ 140Kg, 20Km/H, 2.5Hp, Inclinación Elec. 15%;Cinta Caminar Athletic 3660T/ 140Kg, 20Km/H, 2.5Hp, Inclinación Elec. 15%;3;3001;9241700;12938380
ATCC3290T;Cinta Caminar Athletic 3290T;Cinta Caminar Athletic 3290T/ 130Kg, 18Km/H, 2Hp, Inclinación Elec. 15%;Cinta Caminar Athletic 3290T/ 130Kg, 18Km/H, 2Hp, Inclinación Elec. 15%;3;3001;8919600;12487440
ATCC3260T;Cinta Caminar Athletic 3260T;Cinta Caminar Athletic 3260T  / 130Kg, 16Km/H, 2Hp, Inclinación Elec. 12%;Cinta Caminar Athletic 3260T  / 130Kg, 16Km/H, 2Hp, Inclinación Elec. 12%;3;3001;7883600;11037040
